City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Fiche,ET,9.8,38.7333,54.09,63,64,4.81,broken clouds
297,Meshcherino,RU,55.1957,38.36,10.4,72,75,13.42,light snow
298,Mogadishu,SO,2.0371,45.3438,78.08,77,6,23.42,clear sky
299,Jha Jha,IN,24.7667,86.3667,57.61,60,0,4.47,clear sky
300,Roma,US,43.2128,-75.4557,28.99,80,90,3.44,light snow
301,Kodiak,US,57.79,-152.4072,26.6,68,1,4.61,clear sky
302,Samarai,PG,-10.6167,150.6667,81.77,77,100,5.19,overcast clouds
303,Lebu,CL,-37.6167,-73.65,63.72,75,11,8.66,few clouds
304,Ponta Delgada,PT,37.7333,-25.6667,59.0,82,75,13.8,broken clouds
305,Vila Velha,BR,-20.3297,-40.2925,71.6,94,90,3.44,overcast clouds
306,Port Hedland,AU,-20.3167,118.5667,78.8,69,40,9.22,scattered clouds
307,Hambantota,LK,6.1241,81.1185,77.0,94,0,8.05,clear sky
308,Alice Springs,AU,-23.7,133.8833,77.0,35,28,4.61,scattered clouds
309,Talaya,RU,61.3833,152.75,-6.93,88,100,10.0,overcast clouds
310,Vaitape,PF,-16.5167,-151.75,80.98,76,5,11.92,clear sky
311,Katsuura,JP,35.1333,140.3,44.6,57,0,8.05,clear sky
312,Elat,IL,29.5581,34.9482,68.0,52,0,10.36,clear sky
313,Xushan,CN,30.1764,121.2457,55.0,82,75,11.18,light rain
314,Wabana,CA,47.6332,-52.9481,32.0,55,20,27.63,few clouds
315,Shieli,KZ,44.1667,66.75,38.28,88,65,11.21,broken clouds
316,Marienburg,PL,54.0359,19.0266,10.99,100,51,11.3,broken clouds
317,Kurilsk,RU,45.2333,147.8833,13.48,92,100,14.05,light snow
318,Sohag,EG,26.557,31.6948,64.4,55,0,6.91,clear sky
319,Pendleton,US,45.6721,-118.7886,44.01,56,1,32.21,clear sky
320,Tera,NE,14.0078,0.7531,82.83,15,0,7.16,clear sky
321,At-Bashi,KG,41.1702,75.8106,25.38,84,99,2.37,snow
322,Muchkapskiy,RU,51.8513,42.4717,-3.24,90,46,10.74,scattered clouds
323,Yerbogachen,RU,61.2767,108.0108,18.28,97,100,5.77,light snow
324,Batagay-Alyta,RU,67.8006,130.4114,-33.21,79,0,2.57,clear sky
325,Lazaro Cardenas,MX,17.9583,-102.2,82.38,54,0,9.08,clear sky
326,New Waterford,US,40.8451,-80.6145,24.01,47,90,5.01,overcast clouds
327,Port Hardy,CA,50.6996,-127.4199,39.2,93,75,8.05,light snow
328,Port Keats,AU,-14.25,129.55,81.73,80,100,7.83,overcast clouds
329,Kenai,US,60.5544,-151.2583,8.6,85,40,6.91,mist
330,Bethel,US,41.3712,-73.414,28.0,93,90,8.05,snow
331,Ahuimanu,US,21.4447,-157.8378,69.01,82,20,3.22,few clouds
332,Imbituba,BR,-28.24,-48.6703,82.4,51,20,14.97,few clouds
333,Ngunguru,NZ,-35.6167,174.5,57.99,92,62,1.01,broken clouds
334,Hirara,JP,24.8,125.2833,68.5,71,91,10.8,overcast clouds
335,Hare Bay,CA,48.8499,-54.0148,33.8,47,0,20.71,clear sky
336,Amambai,BR,-23.1042,-55.2258,79.68,53,0,4.59,clear sky
337,Kargasok,RU,59.0556,80.8572,9.36,93,100,13.62,overcast clouds
338,Rawson,AR,-43.3002,-65.1023,61.18,48,24,12.97,few clouds
339,Urengoy,RU,65.9667,78.3667,1.67,93,100,16.89,light snow
340,Sergeyevka,KZ,53.88,67.4158,8.08,92,100,15.86,overcast clouds
341,Newton,US,42.337,-71.2092,34.0,100,100,5.75,snow
342,Turayf,SA,31.6725,38.6637,53.6,71,0,4.61,clear sky
343,Moose Factory,CA,51.2585,-80.6094,-5.8,64,90,9.22,light snow
344,San Vicente,AR,-26.6167,-54.1333,87.8,20,0,6.42,clear sky
345,Atikokan,CA,48.7555,-91.6216,-15.65,85,96,9.71,overcast clouds
346,Xinzhou,CN,38.4092,112.7333,27.45,79,0,1.9,clear sky
347,Hualmay,PE,-11.0964,-77.6139,76.75,63,100,9.4,overcast clouds
