City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
564,Kolondieba,ML,87.85,overcast clouds,11.0882,-6.8926,Hotel Dakan
565,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
566,Bucerias,MX,75.2,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
570,Trairi,BR,86.34,clear sky,-3.2778,-39.2689,janelas do mar
571,Prieska,ZA,86.56,clear sky,-29.6641,22.7474,Avenue GuestHouse
574,Katherine,AU,75.2,overcast clouds,-14.4667,132.2667,Pine Tree Motel
575,Bandarbeyla,SO,76.05,few clouds,9.4942,50.8122,JABIR HOTEL
579,De Aar,ZA,78.8,clear sky,-30.6497,24.0123,Stoneburgh B&B
587,Boende,CD,77.79,overcast clouds,-0.2167,20.8667,
593,Beaufort,MY,80.6,few clouds,5.3473,115.7455,The Gem Hotel Beaufort
595,Cururupu,BR,86.05,clear sky,-1.8283,-44.8683,Pousada Través'cia
598,Santa Isabel Do Rio Negro,BR,86.36,overcast clouds,-0.4139,-65.0192,Hotel GSA
599,Fomboni,KM,84.42,moderate rain,-12.28,43.7425,Auberge les abou
601,Manggar,ID,79.68,overcast clouds,-2.8833,108.2667,Guest Hotel
603,Acapulco,MX,86.0,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
606,Celestun,MX,79.63,clear sky,20.8667,-90.4,Posada Lilia
608,The Valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
612,Santiago,CL,79.0,haze,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
619,Bahia Honda,CU,85.28,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
620,Nioki,CD,75.54,light rain,-2.7167,17.6833,
622,Tucuman,AR,89.6,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
626,Les Cayes,HT,81.77,clear sky,18.2,-73.75,Villa Orphee
634,Sibolga,ID,76.93,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
635,Tual,ID,83.14,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
641,Garoua,CM,84.2,clear sky,9.3,13.4,Hotel De L'Amitie
644,Labuhan,ID,78.66,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
645,Nabire,ID,75.72,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
651,Barkly West,ZA,77.0,clear sky,-28.5354,24.5215,Stafford Parker Guest House
659,Merauke,ID,79.57,overcast clouds,-8.4667,140.3333,
660,Puro,PH,78.21,overcast clouds,12.4841,123.3827,
661,Honiara,SB,77.85,overcast clouds,-9.4333,159.95,Heritage Park Hotel
666,Richards Bay,ZA,75.06,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
667,Candolim,IN,78.8,haze,15.5181,73.7626,Resort Terra Paraiso
668,Tautira,PF,82.4,light rain,-17.7333,-149.15,Pension Oaoa
677,Nauta,PE,84.0,heavy intensity rain,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
